TrackName: Percussion
A NoteOff, Abs: 6280 (D 16)
A NoteOn, Abs: 6288 (D 8)
A NoteOff, Abs: 6320 (D 32)
A NoteOn, Abs: 6336 (D 16)
A NoteOff, Abs: 6368 (D 32)
A NoteOn, Abs: 6408 (D 40)
A NoteOff, Abs: 6440 (D 32)
A NoteOn, Abs: 6456 (D 16)
A NoteOff, Abs: 6472 (D 16)
A NoteOn, Abs: 6480 (D 8)
A NoteOff, Abs: 6496 (D 16)
A NoteOn, Abs: 6504 (D 8)
A NoteOff, Abs: 6520 (D 16)
A NoteOn, Abs: 6528 (D 8)
A NoteOff, Abs: 6544 (D 16)
A NoteOn, Abs: 6576 (D 32)
A NoteOff, Abs: 6592 (D 16)
A NoteOn, Abs: 6608 (D 16)
A NoteOff, Abs: 6624 (D 16)
A NoteOn, Abs: 6624 (D 0)
A NoteOff, Abs: 6656 (D 32)
A NoteOn, Abs: 6672 (D 16)
A NoteOff, Abs: 6688 (D 16)
A NoteOn, Abs: 6704 (D 16)
A NoteOff, Abs: 6720 (D 16)
A NoteOn, Abs: 6720 (D 0)
A NoteOff, Abs: 6736 (D 16)
A NoteOn, Abs: 6768 (D 32)
A NoteOff, Abs: 6784 (D 16)
A NoteOn, Abs: 6800 (D 16)
A NoteOff, Abs: 6816 (D 16)
A NoteOn, Abs: 6816 (D 0)
A NoteOff, Abs: 6848 (D 32)
A NoteOn, Abs: 6864 (D 16)
A NoteOff, Abs: 6880 (D 16)
A NoteOn, Abs: 6896 (D 16)
A NoteOff, Abs: 6912 (D 16)
A NoteOn, Abs: 6912 (D 0)
A NoteOff, Abs: 6928 (D 16)
A NoteOn, Abs: 6960 (D 32)
A NoteOff, Abs: 6976 (D 16)
A NoteOn, Abs: 6992 (D 16)
A NoteOff, Abs: 7008 (D 16)
A NoteOn, Abs: 7008 (D 0)
A NoteOff, Abs: 7040 (D 32)
A NoteOn, Abs: 7056 (D 16)
A NoteOff, Abs: 7072 (D 16)
A NoteOn, Abs: 7088 (D 16)
A NoteOff, Abs: 7104 (D 16)
A NoteOn, Abs: 7104 (D 0)
A NoteOff, Abs: 7120 (D 16)
A NoteOn, Abs: 7152 (D 32)
A NoteOff, Abs: 7168 (D 16)
A NoteOn, Abs: 7184 (D 16)
A NoteOff, Abs: 7200 (D 16)
A NoteOn, Abs: 7200 (D 0)
A NoteOff, Abs: 7232 (D 32)
A NoteOn, Abs: 7248 (D 16)
A NoteOff, Abs: 7264 (D 16)
A NoteOn, Abs: 7280 (D 16)
A NoteOff, Abs: 7296 (D 16)
A NoteOn, Abs: 7296 (D 0)
A NoteOff, Abs: 7312 (D 16)
A NoteOn, Abs: 7344 (D 32)
A NoteOff, Abs: 7360 (D 16)
A NoteOn, Abs: 7376 (D 16)
A NoteOff, Abs: 7392 (D 16)
A NoteOn, Abs: 7392 (D 0)
A NoteOff, Abs: 7424 (D 32)
A NoteOn, Abs: 7440 (D 16)
A NoteOff, Abs: 7456 (D 16)
A NoteOn, Abs: 7472 (D 16)
A NoteOff, Abs: 7488 (D 16)
A NoteOn, Abs: 7488 (D 0)
A NoteOff, Abs: 7504 (D 16)
A NoteOn, Abs: 7536 (D 32)
A NoteOff, Abs: 7552 (D 16)
A NoteOn, Abs: 7568 (D 16)
A NoteOff, Abs: 7584 (D 16)
A NoteOn, Abs: 7584 (D 0)
A NoteOff, Abs: 7616 (D 32)
A NoteOn, Abs: 7632 (D 16)
A NoteOff, Abs: 7648 (D 16)
A NoteOn, Abs: 7664 (D 16)
A NoteOff, Abs: 7680 (D 16)
A NoteOn, Abs: 7680 (D 0)
A NoteOff, Abs: 7696 (D 16)
A NoteOn, Abs: 7728 (D 32)
A NoteOff, Abs: 7744 (D 16)
A NoteOn, Abs: 7760 (D 16)
A NoteOff, Abs: 7776 (D 16)
A NoteOn, Abs: 7776 (D 0)
A NoteOff, Abs: 7808 (D 32)
A NoteOn, Abs: 7824 (D 16)
A NoteOff, Abs: 7840 (D 16)
A NoteOn, Abs: 7856 (D 16)
A NoteOff, Abs: 7872 (D 16)
A NoteOn, Abs: 7872 (D 0)
A NoteOff, Abs: 7888 (D 16)
A NoteOn, Abs: 7920 (D 32)
A NoteOff, Abs: 7936 (D 16)
A NoteOn, Abs: 7952 (D 16)
A NoteOff, Abs: 7968 (D 16)
A NoteOn, Abs: 7968 (D 0)
A NoteOff, Abs: 8000 (D 32)
A NoteOn, Abs: 8016 (D 16)
A NoteOff, Abs: 8032 (D 16)
A NoteOn, Abs: 8048 (D 16)
A NoteOff, Abs: 8064 (D 16)
A NoteOn, Abs: 8064 (D 0)
A NoteOff, Abs: 8080 (D 16)
A NoteOn, Abs: 8136 (D 56)
A NoteOff, Abs: 8152 (D 16)
A NoteOn, Abs: 8160 (D 8)
A NoteOff, Abs: 8192 (D 32)
A NoteOn, Abs: 8208 (D 16)
A NoteOff, Abs: 8224 (D 16)
A NoteOn, Abs: 8256 (D 32)
A NoteOff, Abs: 8272 (D 16)
A NoteOn, Abs: 8328 (D 56)
A NoteOff, Abs: 8344 (D 16)
A NoteOn, Abs: 8352 (D 8)
A NoteOff, Abs: 8384 (D 32)
A NoteOn, Abs: 8400 (D 16)
A NoteOff, Abs: 8416 (D 16)
A NoteOn, Abs: 8448 (D 32)
A NoteOff, Abs: 8464 (D 16)
A NoteOn, Abs: 8520 (D 56)
A NoteOff, Abs: 8536 (D 16)
A NoteOn, Abs: 8544 (D 8)
A NoteOff, Abs: 8576 (D 32)
A NoteOn, Abs: 8592 (D 16)
A NoteOff, Abs: 8608 (D 16)
A NoteOn, Abs: 8640 (D 32)
A NoteOff, Abs: 8656 (D 16)
A NoteOn, Abs: 8712 (D 56)
A NoteOff, Abs: 8728 (D 16)
A NoteOn, Abs: 8736 (D 8)
A NoteOff, Abs: 8768 (D 32)
A NoteOn, Abs: 8784 (D 16)
A NoteOff, Abs: 8800 (D 16)
A NoteOn, Abs: 8832 (D 32)
A NoteOff, Abs: 8848 (D 16)
A NoteOn, Abs: 8904 (D 56)
A NoteOff, Abs: 8920 (D 16)
A NoteOn, Abs: 8928 (D 8)
A NoteOff, Abs: 8960 (D 32)
A NoteOn, Abs: 8976 (D 16)
A NoteOff, Abs: 8992 (D 16)
A NoteOn, Abs: 9024 (D 32)
A NoteOff, Abs: 9040 (D 16)
A NoteOn, Abs: 9096 (D 56)
A NoteOff, Abs: 9112 (D 16)
A NoteOn, Abs: 9120 (D 8)
A NoteOff, Abs: 9152 (D 32)
A NoteOn, Abs: 9168 (D 16)
A NoteOff, Abs: 9184 (D 16)
A NoteOn, Abs: 9216 (D 32)
A NoteOff, Abs: 9232 (D 16)
A NoteOn, Abs: 9288 (D 56)
A NoteOff, Abs: 9304 (D 16)
A NoteOn, Abs: 9312 (D 8)
A NoteOff, Abs: 9344 (D 32)
A NoteOn, Abs: 9360 (D 16)
A NoteOff, Abs: 9376 (D 16)
A NoteOn, Abs: 9408 (D 32)
A NoteOff, Abs: 9424 (D 16)
A NoteOn, Abs: 9480 (D 56)
A NoteOff, Abs: 9496 (D 16)
A NoteOn, Abs: 9504 (D 8)
A NoteOff, Abs: 9536 (D 32)
A NoteOn, Abs: 9552 (D 16)
A NoteOff, Abs: 9568 (D 16)
A NoteOn, Abs: 9600 (D 32)
A NoteOff, Abs: 9616 (D 16)
A NoteOn, Abs: 9672 (D 56)
A NoteOff, Abs: 9688 (D 16)
A NoteOn, Abs: 9696 (D 8)
A NoteOff, Abs: 9728 (D 32)
A NoteOn, Abs: 9744 (D 16)
A NoteOff, Abs: 9760 (D 16)
A NoteOn, Abs: 9792 (D 32)
