TrackName: Bass Line
A NoteOff, Abs: 13024 (D 16)
F# NoteOn, Abs: 13056 (D 32)
F# NoteOff, Abs: 13072 (D 16)
A NoteOn, Abs: 13128 (D 56)
A NoteOff, Abs: 13144 (D 16)
C NoteOn, Abs: 13152 (D 8)
C NoteOff, Abs: 13168 (D 16)
E NoteOn, Abs: 13200 (D 32)
E NoteOff, Abs: 13216 (D 16)
C NoteOn, Abs: 13248 (D 32)
C NoteOff, Abs: 13264 (D 16)
C NoteOn, Abs: 13296 (D 32)
C NoteOff, Abs: 13312 (D 16)
F NoteOn, Abs: 13344 (D 32)
F NoteOff, Abs: 13360 (D 16)
F NoteOn, Abs: 13368 (D 8)
F NoteOff, Abs: 13384 (D 16)
C NoteOn, Abs: 13392 (D 8)
C NoteOff, Abs: 13408 (D 16)
E NoteOn, Abs: 13440 (D 32)
E NoteOff, Abs: 13456 (D 16)
A# NoteOn, Abs: 13512 (D 56)
A# NoteOff, Abs: 13528 (D 16)
C NoteOn, Abs: 13536 (D 8)
C NoteOff, Abs: 13552 (D 16)
F NoteOn, Abs: 13584 (D 32)
F NoteOff, Abs: 13600 (D 16)
A NoteOn, Abs: 13632 (D 32)
A NoteOff, Abs: 13648 (D 16)
A NoteOn, Abs: 13680 (D 32)
A NoteOff, Abs: 13696 (D 16)
F NoteOn, Abs: 13728 (D 32)
F NoteOff, Abs: 13744 (D 16)
F NoteOn, Abs: 13752 (D 8)
F NoteOff, Abs: 13768 (D 16)
A NoteOn, Abs: 13776 (D 8)
A NoteOff, Abs: 13792 (D 16)
C NoteOn, Abs: 13824 (D 32)
C NoteOff, Abs: 13840 (D 16)
C NoteOn, Abs: 13848 (D 8)
C NoteOff, Abs: 13864 (D 16)
C NoteOn, Abs: 13896 (D 32)
C NoteOff, Abs: 13912 (D 16)
C NoteOn, Abs: 13920 (D 8)
C NoteOff, Abs: 13936 (D 16)
D NoteOn, Abs: 13952 (D 16)
D NoteOff, Abs: 13968 (D 16)
E NoteOn, Abs: 13984 (D 16)
E NoteOff, Abs: 14000 (D 16)
F NoteOn, Abs: 14016 (D 16)
F NoteOff, Abs: 14032 (D 16)
C NoteOn, Abs: 14064 (D 32)
C NoteOff, Abs: 14080 (D 16)
E NoteOn, Abs: 14112 (D 32)
E NoteOff, Abs: 14128 (D 16)
EndOfTrack: 
